id;s;s_id;t;t_id;design;offdesign;design_path;local_design;local_offdesign;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;Air;Air0;Air_set;Isopentane;Isopentane0;Isopentane_set;water;water0;water_set;balance
0x7fcbf4c1be90;cycle closer before preheater;out1;preheater;in2;[];[];nan;False;False;243.71944964491394;kg / s;False;243.71944964491394;False;nan;nan;nan;False;11.32275415790261;bar;False;11.32275415790261;False;nan;nan;nan;False;25.256969591827378;kJ / kg;False;25.256969591827378;False;nan;nan;nan;False;38.39053947321486;C;False;38.39053947321486;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.40437438436996753;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;0;0;False;False
0x7fcbf4c21390;preheater;out2;orc_evaporator;in3;[];[];nan;False;False;243.71944964491394;kg / s;False;243.71944964491394;False;nan;nan;nan;False;10.821744931923735;bar;False;10.821744931923735;True;nan;nan;nan;False;217.9068948184374;kJ / kg;False;217.9068948184374;False;nan;nan;nan;False;113.23700720654392;C;False;113.23700720654392;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.4782368797774638;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;True;1;1;True;0;0;True;False
0x7fcbf4c21610;orc_evaporator;out3;turbine;in1;[];[];nan;False;False;243.71944964491394;kg / s;False;243.71944964491394;False;nan;nan;nan;False;10.821744931923735;bar;False;10.821744931923735;False;nan;nan;nan;False;485.676251011614;kJ / kg;False;485.676251011614;False;nan;nan;nan;False;119.80000000086181;C;False;119.80000000086181;False;nan;nan;nan;False;1.0;nan;False;nan;False;nan;nan;nan;False;7.839636564334262;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;0;0;False;False
0x7fcbf4c21890;turbine;out1;internal heat exchanger;in1;[];[];nan;False;False;243.71944964491394;kg / s;False;243.71944964491394;False;nan;nan;nan;False;1.0621342231967008;bar;False;1.0621342231967008;False;nan;nan;nan;False;411.99066701062054;kJ / kg;False;411.99066701062054;False;nan;nan;nan;False;66.28206296480454;C;False;66.28206296480454;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;87.04556917891114;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;0;0;False;False
0x7fcbf4c21b10;internal heat exchanger;out1;condenser;in1;[];[];nan;False;False;243.71944964491394;kg / s;False;243.71944964491394;False;nan;nan;nan;False;0.9018120754774346;bar;False;0.9018120754774346;False;nan;nan;nan;False;373.68828764532515;kJ / kg;False;373.68828764532515;False;nan;nan;nan;False;44.930740606197105;C;False;44.930740606197105;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;95.891493490113;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;0;0;False;False
0x7fcbf4c21d90;condenser;out1;feeding pump;in1;[];[];nan;False;False;243.71944964491394;kg / s;False;243.71944964491394;False;nan;nan;nan;False;0.8016207538918917;bar;False;0.8016207538918917;False;nan;nan;nan;False;-15.022707261795011;kJ / kg;False;-15.022707261795011;False;nan;nan;nan;False;21.22036697114237;C;False;21.22036697114237;False;nan;nan;nan;False;0.0;nan;False;nan;False;nan;nan;nan;False;0.3938582866899769;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;0;0;False;False
0x7fcbf4c21290;feeding pump;out1;internal heat exchanger;in2;[];[];nan;False;False;243.71944964491394;kg / s;False;243.71944964491394;False;nan;nan;nan;False;11.823760987001007;bar;False;11.823760987001007;False;nan;nan;nan;False;-13.045409773468023;kJ / kg;False;-13.045409773468023;False;nan;nan;nan;False;21.686191879750595;C;False;21.686191879750595;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.39318922857913907;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;0;0;False;False
0x7fcbf4c2a2d0;internal heat exchanger;out2;cycle closer before preheater;in1;[];[];nan;False;False;243.71944964491394;kg / s;False;243.71944964491394;False;nan;nan;nan;False;11.32275415790261;bar;False;11.32275415790261;False;nan;nan;nan;False;25.256969591827378;kJ / kg;False;25.256969591827378;False;nan;nan;nan;False;38.39053947321486;C;False;38.39053947321486;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.40437438436996753;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;0;0;False;False
0x7fcbfc604e50;steam source;out1;orc_evaporator;in1;[];[];nan;False;False;20.28;kg / s;False;20.28;True;nan;nan;nan;False;4.34324533528026;bar;False;4.34324533528026;True;nan;nan;nan;False;2741.785453877643;kJ / kg;False;2741.785453877643;False;nan;nan;nan;False;146.60000000001116;C;False;146.60000000001116;True;nan;nan;nan;False;0.9999999964873901;nan;False;nan;False;nan;nan;nan;False;8.67857956237527;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;g;True;0;0;True;0;0;True;1;1;True;False
0x7fcbf4c2a190;orc_evaporator;out1;condensate pump;in1;[];[];nan;False;False;20.28;kg / s;False;20.28;False;nan;nan;nan;False;4.047114963614343;bar;False;4.047114963614343;False;nan;nan;nan;False;606.4710506473348;kJ / kg;False;606.4710506473348;False;nan;nan;nan;False;144.03093666377987;C;False;144.03093666377987;False;nan;nan;nan;False;0.0;nan;False;nan;False;nan;nan;nan;False;0.021983571927219333;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
