id;source;source_id;target;target_id;design;offdesign;design_path;local_design;local_offdesign;label;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;Air;Air0;Air_set;Isopentane;Isopentane0;Isopentane_set;water;water0;water_set;balance
0x7f7f5b29d8d0;cycle closer before preheater;out1;preheater;in2;[];[];nan;False;False;cycle closer before preheater:out1_preheater:in2;243.71944964502617;kg / s;False;243.71944964502617;False;nan;nan;nan;False;11.32275415790261;bar;False;11.32275415790261;False;nan;nan;nan;False;25.25696959200638;kJ / kg;False;25.25696959200638;False;nan;nan;nan;False;38.3905394732912;C;False;38.3905394732912;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.40437438437020734;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;0;0;False;False
0x7f7f5b29de90;preheater;out2;orc_evaporator;in3;[];[];nan;False;False;preheater:out2_orc_evaporator:in3;243.71944964502617;kg / s;False;243.71944964502617;False;nan;nan;nan;False;10.821744931923735;bar;False;10.821744931923735;True;nan;nan;nan;False;214.5917068873353;kJ / kg;False;214.5917068873353;False;nan;nan;nan;False;112.0754987887554;C;False;112.0754987887554;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.4765381609550696;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;True;1;1;True;0;0;True;False
0x7f7f5b2a5490;orc_evaporator;out3;turbine;in1;[];[];nan;False;False;orc_evaporator:out3_turbine:in1;243.71944964502617;kg / s;False;243.71944964502617;False;nan;nan;nan;False;10.821744931923737;bar;False;10.821744931923737;False;nan;nan;nan;False;485.67625101161406;kJ / kg;False;485.67625101161406;False;nan;nan;nan;False;119.80000000086193;C;False;119.80000000086193;False;nan;nan;nan;False;1.0;-;False;nan;False;nan;nan;nan;False;7.8396365643378685;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;0;0;False;False
0x7f7f5b2a5a50;turbine;out1;internal heat exchanger;in1;[];[];nan;False;False;turbine:out1_internal heat exchanger:in1;243.71944964502617;kg / s;False;243.71944964502617;False;nan;nan;nan;False;1.0621342231967008;bar;False;1.0621342231967008;False;nan;nan;nan;False;411.9906670106206;kJ / kg;False;411.9906670106206;False;nan;nan;nan;False;66.2820629648046;C;False;66.2820629648046;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;87.04556917895124;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;0;0;False;False
0x7f7f5b2aa050;internal heat exchanger;out1;condenser;in1;[];[];nan;False;False;internal heat exchanger:out1_condenser:in1;243.71944964502617;kg / s;False;243.71944964502617;False;nan;nan;nan;False;0.9018120754774347;bar;False;0.9018120754774347;False;nan;nan;nan;False;373.68828764514626;kJ / kg;False;373.68828764514626;False;nan;nan;nan;False;44.930740606096435;C;False;44.930740606096435;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;95.89149349012327;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;0;0;False;False
0x7f7f5b2aa610;condenser;out1;feeding pump;in1;[];[];nan;False;False;condenser:out1_feeding pump:in1;243.71944964502617;kg / s;False;243.71944964502617;False;nan;nan;nan;False;0.8016207538918918;bar;False;0.8016207538918918;False;nan;nan;nan;False;-15.022707261794869;kJ / kg;False;-15.022707261794869;False;nan;nan;nan;False;21.220366971142482;C;False;21.220366971142482;False;nan;nan;nan;False;-4.523862275679227e-17;-;False;nan;False;nan;nan;nan;False;0.39385828669015377;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;0;0;False;False
0x7f7f5b2aabd0;feeding pump;out1;internal heat exchanger;in2;[];[];nan;False;False;feeding pump:out1_internal heat exchanger:in2;243.71944964502617;kg / s;False;243.71944964502617;False;nan;nan;nan;False;11.82376098700101;bar;False;11.82376098700101;False;nan;nan;nan;False;-13.04540977346798;kJ / kg;False;-13.04540977346798;False;nan;nan;nan;False;21.686191879750652;C;False;21.686191879750652;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.3931892285793202;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;0;0;False;False
0x7f7f5b2af1d0;internal heat exchanger;out2;cycle closer before preheater;in1;[];[];nan;False;False;internal heat exchanger:out2_cycle closer before preheater:in1;243.71944964502617;kg / s;False;243.71944964502617;False;nan;nan;nan;False;11.32275415790261;bar;False;11.32275415790261;False;nan;nan;nan;False;25.25696959200638;kJ / kg;False;25.25696959200638;False;nan;nan;nan;False;38.3905394732912;C;False;38.3905394732912;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.40437438437020734;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;0;0;False;False
0x7f7f6c0c29d0;steam source;out1;orc_evaporator;in1;[];[];nan;False;False;steam source:out1_orc_evaporator:in1;20.28;kg / s;False;20.28;True;nan;nan;nan;False;4.34324533528026;bar;False;4.34324533528026;True;nan;nan;nan;False;2741.785453877643;kJ / kg;False;2741.785453877643;False;nan;nan;nan;False;146.60000000001116;C;False;146.60000000001116;True;nan;nan;nan;False;0.9999999964873901;-;False;nan;False;nan;nan;nan;False;8.67857956237527;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;g;True;0;0;True;0;0;True;1;1;True;False
0x7f7f5b2afc10;orc_evaporator;out1;condensate pump;in1;[];[];nan;False;False;orc_evaporator:out1_condensate pump:in1;20.28;kg / s;False;20.28;False;nan;nan;nan;False;4.047114963614342;bar;False;4.047114963614342;False;nan;nan;nan;False;606.4710506473348;kJ / kg;False;606.4710506473348;False;nan;nan;nan;False;144.03093666377987;C;False;144.03093666377987;False;nan;nan;nan;False;0.0;-;False;nan;False;nan;nan;nan;False;0.021983571927219333;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x7f7f5b24c310;condensate pump;out1;geo-fluid merge point;in1;[];[];nan;False;False;condensate pump:out1_geo-fluid merge point:in1;20.28;kg / s;False;20.28;False;nan;nan;nan;False;9.907625585513319;bar;False;9.907625585513319;False;nan;nan;nan;False;607.2650363842725;kJ / kg;False;607.2650363842725;False;nan;nan;nan;False;144.12913197484613;C;False;144.12913197484613;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.0219779944995393;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
